,company,industry,symbol,category,market_cap,book_value,ROE,ROCE,net_profit_margin_inc,current_ratio,price_to_book,debt_to_equity,EPS,revenue_inc,cash_flow_inc,promoter_holding_change,inst_holding_change,div_yield,price_to_earning,return,sign
0,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,Nifty 50,69087,119.5,16.26,14.25,13.63,1.4,3.2,1.1,19.3,-0.37,3192.08,-3.97,4.16,0.6,18.95,81.74,1
1,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,Nifty 50,119612,102.5,22.76,30.42,-7.63,1.5,15.3,0.1,22.5,14.24,407.59,0,-1.04,0.64,61.76,100.71,1
2,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,Nifty 50,156906,263.7,7.43,6.86,809.09,NaN,2.85,2.4,19.59,20.1,439.34,-8.9,7.55,0,183.68,18.58,1
3,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,Nifty 50,76907,802.9,21.2,26.16,-3.27,1.5,4.05,0,170.29,20.19,-80.91,1.88,-2.69,2.1,17.64,25.94,1
4,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,Nifty 50,137747,341.5,20.28,15.21,8.6,3.1,9.22,5.2,69.26,37.39,-32.24,0.03,0.72,0.15,42.99,129.04,1
5,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,Nifty 50,87927,2296.6,13.55,14.52,-0.71,1.9,3.28,4.2,202.28,29.65,160.89,0.02,-0.05,0.03,33.4,106.13,1
6,Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,Nifty 50,65587,207.6,20.12,16.38,-29.44,0.9,2,1.1,39.7,26.39,-86.98,-1.02,1.12,6.06,10.2,-6.34,0
7,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,Nifty 50,120741,212.5,0.57,3.07,23.31,0.4,1.57,1.7,1,-2.12,-72.86,0,0.03,2.55,319.62,159.25,1
8,Indus Towers Ltd.,TELECOM,INDUSTOWER,Nifty 50,48515,78.6,17.16,16.85,20.23,2.4,4,0,13.5,9.54,98.13,0,0.25,7.34,21.73,-42.68,0
9,Cipla Ltd.,PHARMA,CIPLA,Nifty 50,48887,19.04,10.17,11.13,-1.5,3.3,2.8,0.3,18.9,8.55,-326.26,-0.51,2.71,0.54,33.13,63.57,1
10,Coal India Ltd.,METALS,COALINDIA,Nifty 50,162355,43.6,66,31.52,114.69,1.5,5.5,0.1,28.1,16.46,-138767.74,-7.59,7.74,10.2,11.36,-5.86,0
11,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,Nifty 50,40237,844.8,13.9,14.37,93.26,1.9,3.3,0.2,117.3,9.35,73.01,0.01,0,0.76,24.88,63.63,1
12,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,Nifty 50,61827,3269.3,24.69,32.79,5.42,2.1,6.3,0,806.9,10.77,728.62,-1.17,0.25,0.55,25.63,56.05,1
13,GAIL (India) Ltd.,ENERGY,GAIL,Nifty 50,83381,204.2,14.22,15.95,-11.14,1,1.7,0,29,39.95,-222.72,-1.32,2.56,2.09,13.07,-10.65,0
14,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,Nifty 50,55737,1264.6,3.17,7.43,-52.1,1.5,1,1.3,26.9,29,226.35,0.05,-1.37,0.78,39.3,101.53,1
15,HCL Technologies Ltd.,IT,HCLTECH,Nifty 50,139893,306,24.46,27.65,-2.79,2.4,3.6,0.1,73.5,18.51,1240,-0.18,0.09,0.76,14.63,104.24,1
16,HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,Nifty 50,529816,564.3,14.53,7.81,-1.93,NaN,4.1,1,83.3,22.46,-156.06,0.9,-0.23,0.62,28.29,54.54,1
17,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,Nifty 50,57851,662.7,26.24,36.04,-11.41,1.9,3.9,0,172.4,5.08,37.06,0,0.33,3.54,14.79,-8.86,0
18,Hindalco Industries Ltd.,METALS,HINDALCO,Nifty 50,53990,258.6,9.55,9.97,-21.93,1.6,0.8,0.9,24.7,13.23,277.22,-0.01,-1.82,0.61,32.52,102.93,1
19,Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,Nifty 50,36602,199.5,22,19.73,-22.01,0.8,1.4,0.9,43.9,25.29,70.72,0,-0.66,7.29,7.39,-3.91,0
20,Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,Nifty 50,354667,36.5,76.95,88.98,4.83,1.4,46.9,0,28,10.94,-233.33,0,-0.55,1.21,64.07,41.67,1
21,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,Nifty 50,313331,,,,,,,,,,,,,,,,0
22,I T C Ltd.,CONSUMER GOODS,ITC,Nifty 50,346803,,,,,,,,,,,,,,,,0
23,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,Nifty 50,228119,,,,,,,,,,,,,,,,0
24,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,Nifty 50,37161,,,,,,,,,,,,,,,,0
25,Indian Oil Corporation Ltd.,ENERGY,IOC,Nifty 50,143978,,,,,,,,,,,,,,,,0
26,IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,Nifty 50,92765,,,,,,,,,,,,,,,,0
27,Infosys Ltd.,IT,INFY,Nifty 50,289297,,,,,,,,,,,,,,,,0
28,JSW Steel Ltd.,METALS,JSWSTEEL,Nifty 50,85280,,,,,,,,,,,,,,,,0
29,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,Nifty 50,216115,,,,,,,,,,,,,,,,0
30,Larsen & Toubro Ltd.,CONSTRUCTION,LT,Nifty 50,190450,,,,,,,,,,,,,,,,0
31,Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,Nifty 50,97410,,,,,,,,,,,,,,,,0
32,Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,Nifty 50,215548,,,,,,,,,,,,,,,,0
33,NTPC Ltd.,ENERGY,NTPC,Nifty 50,130278,,,,,,,,,,,,,,,,0
34,Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,Nifty 50,201931,,,,,,,,,,,,,,,,0
35,Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,Nifty 50,99322,,,,,,,,,,,,,,,,0
36,Reliance Industries Ltd.,ENERGY,RELIANCE,Nifty 50,681328,,,,,,,,,,,,,,,,0
37,State Bank of India,FINANCIAL SERVICES,SBIN,Nifty 50,254663,,,,,,,,,,,,,,,,0
38,Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,Nifty 50,137205,,,,,,,,,,,,,,,,0
39,Tata Consultancy Services Ltd.,IT,TCS,Nifty 50,718000,,,,,,,,,,,,,,,,0
40,Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,Nifty 50,60161,,,,,,,,,,,,,,,,0
41,Tata Steel Ltd.,METALS,TATASTEEL,Nifty 50,64673,,,,,,,,,,,,,,,,0
42,Tech Mahindra Ltd.,IT,TECHM,Nifty 50,67778,,,,,,,,,,,,,,,,0
43,Titan Company Ltd.,CONSUMER GOODS,TITAN,Nifty 50,77326,,,,,,,,,,,,,,,,0
44,UPL Ltd.,FERTILISERS & PESTICIDES,UPL,Nifty 50,36237,,,,,,,,,,,,,,,,0
45,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,Nifty 50,102458,,,,,,,,,,,,,,,,0
46,Vedanta Ltd.,METALS,VEDL,Nifty 50,83971,,,,,,,,,,,,,,,,0
47,Wipro Ltd.,IT,WIPRO,Nifty 50,144048,,,,,,,,,,,,,,,,0
48,Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,Nifty 50,48326,,,,,,,,,,,,,,,,0
49,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,Nifty 50,42390,,,,,,,,,,,,,,,,0
50,ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,Nifty Next 50,27933,166.1,12.74,11.1,10.74,1.5,7,0,24.1,9.77,-24.52,0,-0.13,0.32,60.44,137.98,1
51,ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,Nifty Next 50,27257,560.4,14.43,13.98,48.47,1.4,2.7,0,80.8,11.41,-50.26,0,-0.54,1.99,28.53,71.54,1
52,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,Nifty Next 50,23412,48.5,9.15,6.56,-14.03,3.6,2.3,5.9,4,31.62,-94.41,-0.01,-1.14,0,25.64,57.93,1
53,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,Nifty Next 50,40517,139,9.73,11.15,11.36,1.5,2,0,11,10.37,-86.69,-0.1,-0.58,0.91,27,162.35,1
54,Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,Nifty Next 50,34551,33.5,23.76,18.32,7.7,1.1,3.1,1.7,7.1,11.76,169.88,-0.15,-5.29,2.8,13.09,66.3,1
55,Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,Nifty Next 50,45783,237,17.02,23.82,-17.84,1.3,3.3,0.5,40.4,19.04,-25.18,0,1.54,0.31,18.34,-35.68,0
56,Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,Nifty Next 50,91272,89.05,16.15,25.42,-13.93,1.7,16.4,0.1,14.3,32.78,76.58,-1,1.86,0,100.69,135.96,1
57,Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,Nifty Next 50,50915,93.9,17.42,10.73,4.86,NaN,5.6,0,16.4,39.9,121.46,-0.02,4.17,0.21,33.8,-52.4,0
58,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,Nifty Next 50,29074,188.4,2.2,6.08,149.4,NaN,0.7,1.4,4.2,12.48,100.82,-0.77,0,0,-17.15,55.08,1
59,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,Nifty Next 50,23148,37.9,20.47,25.46,12.27,1.5,2.5,0,5.8,15.48,97.64,-7.69,6.06,2.35,11.4,244.1,1
60,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,Nifty Next 50,26801,88.7,3.25,5.65,36.36,1.7,0.8,0.1,2.8,5.01,-253.79,0.11,0.01,2.75,24.52,7.64,1
61,Biocon Ltd.,PHARMA,BIOCON,Nifty Next 50,37860,111.8,14.84,11.91,73.45,1.6,6,0.3,7.6,30.7,176.11,0,1.34,0.16,46.06,-26.03,0
62,Bosch Ltd.,AUTOMOBILE,BOSCHLTD,Nifty Next 50,59898,3090.8,17.52,24.78,12.8,2,5.9,0,525,3.92,-173.44,0.05,0.12,0.53,35.39,-5.28,0
63,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,Nifty Next 50,67301,178.4,27.25,40.49,3.36,1.9,17.4,0,48.2,11.71,-186.29,-0.04,-1.57,0.41,64.1,43.98,1
64,Cadila Healthcare Ltd.,PHARMA,CADILAHC,Nifty Next 50,36737,,,,,,,,,,,,,,,,0
